presbytery,for,against,item
Piedmont Triad,38.0,0.0,Item 2
Pittsburgh,48.0,0.0,Item 2
Platte Valley,7.0,10.0,Item 2
Potomac,46.0,1.0,Item 2
Providence,51.0,0.0,Item 2
Rio Grande,1.0,0.0,Item 2
Rocky Mountain,77.0,0.0,Item 2
Savannah River,39.0,1.0,Item 2
Siouxlands,32.0,0.0,Item 2
South Coast,1.0,0.0,Item 2
South Florida,,,Item 2
South Texas,50.0,1.0,Item 2
Southeast Alabama,42.0,0.0,Item 2
Southern Louisiana,19.0,0.0,Item 2
Southern New England,68.0,0.0,Item 2
Southwest Florida,52.0,9.0,Item 2
Suncoast Florida,,,Item 2
Susquehanna Valley,30.0,3.0,Item 2
Tennessee Valley,1.0,0.0,Item 2
Tidewater,43.0,0.0,Item 2
Warrior,1.0,0.0,Item 2
West Hudson,1.0,0.0,Item 2
Westminster,28.0,0.0,Item 2
Wisconsin,17.0,7.0,Item 2
Arizona,8.0,19.0,Item 3
Ascension,34.0,1.0,Item 3
Blue Ridge,1.0,0.0,Item 3
Calvary,93.0,0.0,Item 3
Canada West,25.0,0.0,Item 3
Catawba Valley,37.0,1.0,Item 3
Central Carolina,51.0,0.0,Item 3
Central Florida,60.0,1.0,Item 3
Central Georgia,4.0,30.0,Item 3
Central Indiana,,,Item 3
Chesapeake,64.0,0.0,Item 3
Chicago Metro,42.0,0.0,Item 3
Columbus Metro,,,Item 3
Covenant,1.0,77.0,Item 3
Eastern Canada,,,Item 3
Eastern Carolina,45.0,1.0,Item 3
Eastern Pennsylvania,24.0,0.0,Item 3
Evangel,,,Item 3
Fellowship,37.0,1.0,Item 3
Georgia Foothills,1.0,0.0,Item 3
Grace,28.0,13.0,Item 3
Great Lakes,46.0,1.0,Item 3
Gulf Coast,37.0,0.0,Item 3
Gulfstream,35.0,0.0,Item 3
Heartland,25.0,0.0,Item 3
Heritage,35.0,0.0,Item 3
Highlands,28.0,27.0,Item 3
Hills and Plains,,,Item 3
Houston Metro,50.0,0.0,Item 3
Illiana,15.0,0.0,Item 3
Iowa,,,Item 3
James River,77.0,0.0,Item 3
Korean Capital,,,Item 3
Korean Central,,,Item 3
Korean Eastern,,,Item 3
Korean Northeastern,,,Item 3
Korean Northwest,,,Item 3
Korean Southeastern,,,Item 3
Korean Southern,,,Item 3
Korean Southwest,,,Item 3
Korean Southwest OC,,,Item 3
Lowcountry Presbytery,34.0,0.0,Item 3
Metro Atlanta,1.0,0.0,Item 3
Metropolitan New York,32.0,0.0,Item 3
Mississippi Valley,83.0,0.0,Item 3
Missouri,,,Item 3
Nashville,,,Item 3
New Jersey,0.0,14.0,Item 3
New River,1.0,0.0,Item 3
New York State,4.0,24.0,Item 3
North Florida,,,Item 3
North Texas,,,Item 3
Northern California,34.0,0.0,Item 3
Northern Illinois,30.0,0.0,Item 3
Northern New England,,,Item 3
Northwest Georgia,6.0,31.0,Item 3
Ohio,14.0,2.0,Item 3
Ohio Valley,40.0,2.0,Item 3
Pacific,0.0,1.0,Item 3
Pacific Northwest,46.0,0.0,Item 3
Palmetto,76.0,1.0,Item 3
Pee Dee,13.0,25.0,Item 3
Philadelphia,,,Item 3
Philadelphia Metro West,,,Item 3
Piedmont Triad,38.0,0.0,Item 3
Pittsburgh,50.0,1.0,Item 3
Platte Valley,20.0,0.0,Item 3
Potomac,55.0,3.0,Item 3
Providence,51.0,0.0,Item 3
Rio Grande,1.0,0.0,Item 3
Rocky Mountain,44.0,26.0,Item 3
Savannah River,5.0,30.0,Item 3
Siouxlands,11.0,16.0,Item 3
South Coast,1.0,0.0,Item 3
South Florida,,,Item 3
South Texas,50.0,1.0,Item 3
Southeast Alabama,42.0,0.0,Item 3
Southern Louisiana,11.0,3.0,Item 3
Southern New England,35.0,22.0,Item 3
Southwest Florida,0.0,58.0,Item 3
Suncoast Florida,,,Item 3
Susquehanna Valley,34.0,6.0,Item 3
Tennessee Valley,1.0,0.0,Item 3
Tidewater,42.0,0.0,Item 3
Warrior,1.0,0.0,Item 3
West Hudson,1.0,0.0,Item 3
Westminster,7.0,19.0,Item 3
Wisconsin,31.0,1.0,Item 3
Arizona,31.0,0.0,Item 4
Ascension,32.0,1.0,Item 4
Blue Ridge,1.0,0.0,Item 4
Calvary,85.0,0.0,Item 4
Canada West,28.0,0.0,Item 4
Catawba Valley,38.0,0.0,Item 4
Central Carolina,50.0,0.0,Item 4
Central Florida,90.0,0.0,Item 4
Central Georgia,38.0,0.0,Item 4
Central Indiana,,,Item 4
Chesapeake,69.0,0.0,Item 4
Chicago Metro,41.0,1.0,Item 4
Columbus Metro,,,Item 4
Covenant,85.0,1.0,Item 4
Eastern Canada,35.0,0.0,Item 4
Eastern Carolina,51.0,0.0,Item 4
Eastern Pennsylvania,27.0,0.0,Item 4
Evangel,,,Item 4
Fellowship,38.0,0.0,Item 4
Georgia Foothills,1.0,0.0,Item 4
Grace,41.0,0.0,Item 4
Great Lakes,46.0,1.0,Item 4
Gulf Coast,36.0,1.0,Item 4
Gulfstream,35.0,0.0,Item 4
Heartland,25.0,0.0,Item 4
Heritage,39.0,0.0,Item 4
Highlands,54.0,4.0,Item 4
Hills and Plains,39.0,1.0,Item 4
Houston Metro,38.0,12.0,Item 4
Illiana,16.0,0.0,Item 4
Iowa,,,Item 4
James River,80.0,0.0,Item 4
Korean Capital,,,Item 4
Korean Central,,,Item 4
Korean Eastern,,,Item 4
Korean Northeastern,,,Item 4
Korean Northwest,,,Item 4
Korean Southeastern,32.0,0.0,Item 4
Korean Southern,,,Item 4
Korean Southwest,,,Item 4
Korean Southwest OC,,,Item 4
Lowcountry Presbytery,34.0,0.0,Item 4
Metro Atlanta,1.0,0.0,Item 4
Metropolitan New York,9.0,23.0,Item 4
Mississippi Valley,85.0,0.0,Item 4
Missouri,,,Item 4
Nashville,71.0,1.0,Item 4
New Jersey,21.0,0.0,Item 4
New River,1.0,0.0,Item 4
New York State,24.0,3.0,Item 4
North Florida,,,Item 4
North Texas,,,Item 4
Northern California,21.0,6.0,Item 4
